skuErp;skuSite;descricao
10222;10222-001-U;Puxador Sobrepor Pv14 Preto Fosco - Torralba - 160MM
10223;10223-001-U;Puxador Ponto Radio M Gold - Zen Design - M
10224;10224-001-U;Puxador Alça Sorento Liso 320MM Cromado - Zen Design - 320MM
10227;10227-001-U;Puxador Sobrepor Pv18 Preto Fosco - Torralba - 32MM
10228;10228-001-U;Puxador Sobrepor Pv22 32mm Preto Fosco - Torralba - 32MM
10230;10230-001-U;Puxador Alça Ken Granado 320mm Gold Escovado - Zen Design - 320MM
10231;10231-001-U;Puxador Concha Plymouth Rose Escovado - Zen Design - 80MM
10232;10232-001-U;Puxador Alça Ken Granado 192mm Gold Escovado - Zen Design - 192MM
10233;10233-001-U;Puxador Alça Nord 160MM Gold Escovado - Zen Design - 160MM
10234;10234-001-U;Puxador Ponto Radio P Dourado Com Base - Zen Design - P
10235;10235-001-U;Puxador Ponto Orion 55x27MM Gold Escovado - Zen Design - 55X27MM
10240;10240-001-U;Puxador Alça Versalhes 320MM Dourado Matte - Zen Design - 320MM
10241;10241-001-U;Puxador Ponto Fune Couro Marrom Branco - Zen Design - Ponto
10245;10245-001-U;Puxador Sobrepor Pv33 160mm Dourado - Torralba - 160MM
10248;10248-001-U;Puxador Alça Phenix 320MM Gold - Zen Design - 320MM
10254;10254-001-U;Puxador Concha Shell 64mm Níquel Escovado - Zen Design - 64MM
10259;10259-001-U;Puxador Ponto Radio G Gold Escovado - Zen Design - G
10260;10260-001-U;Puxador Sobrepor Pv33 64mm Preto Fosco - Torralba - 64MM
10263;10263-001-U;Puxador Ponto Grenade 1764 Níquel Escovado - Torralba - Ponto
10267;10267-001-U;Puxador Ponto Cup Gold Escovado - Zen Design - Ponto
10275;10275-001-U;Puxador Ponto Radio P Gold Escovado Com Base - Zen Design - P
10279;10279-001-U;Puxador Ponto Bali Granado Dourado Zen Design - Ponto
10284;10284-001-U;Puxador Concha Sirius 32mm Preto - Zen Design - Único
10285;10285-001-U;Puxador Ponto Beetle Com Base Granada Dourado - Zen Design - Ponto
10286;10286-001-U;Puxador Ponto Beetle com Base Granada Branco - Zen Design - Ponto
10289;10289-001-U;Puxador Sobrepor Citizen 45 Graus G Preto - Zen Design - G
10290;10290-001-U;Puxador Concha Eden 64mm Níquel Escovado - Torralba - 64MM
10293;10293-001-U;Puxador Alça Ken 192mm Gold - Zen Design - 192MM
10294;10294-001-U;Puxador Sobrepor Citizen 45 Graus G Dourado - Zen Design - G
10298;10298-001-U;Puxador Ponto Orion 33x20MM Gold - Zen Design - 33X20MM
10300;10300-001-U;Puxador Ponto Cereja 38mm Gold Opaco - Jador - Ponto
10302;10302-001-U;Puxador Ponto Disk P Dourado - Zen Design - P
10308;10308-001-U;Puxador Ponto Disk G Níquel Escovado - Zen Design - G
10312;10312-001-U;Puxador Ponto Disk P Gold - Zen Design - P
10314;10314-001-U;Puxador Ponto Orion 33x20MM Preto - Zen Design - 33X20MM
10318;10318-001-U;Puxador Ponto Orion 33x20MM Gold Escovado - Zen Design - 33X20MM
10323;10323-001-U;Puxador Alça Ken 128MM Branco - Zen Design - 128MM
10326;10326-001-U;Puxador Alça Nord Granado 160MM Dourado - Zen Design - 160MM
10329;10329-001-U;Puxador Alça Nord Granado 160MM Gold - Zen Design - 160MM
10340;10340-001-U;Puxador Alça Sorento Granado 320mm Preto - Zen Design - 320MM
10355;10355-001-U;Puxador Alça Estrela 384mm Preto Opaco - Jador - 384MM
10356;10356-001-U;Puxador Alça Traso 128MM Preto - Zen Design - 128MM
10361;10361-001-U;Puxador Concha Shell 48mm Rose Escovado - Zen Design - 48MM
10372;10372-001-U;Puxador Ponto Radio M Níquel Escovado - Zen Design - M
10373;10373-001-U;Puxador Concha Sirius 32MM Gold Escovado - Zen Design - Único
10374;10374-001-U;Puxador Ponto Orion 55x27MM Níquel Escovado - Zen Design - 55X27MM
10375;10375-001-U;Puxador Ponto Orion 33x20MM Níquel Escovado - Zen Design - 33X20MM
10378;10378-001-U;Puxador Alça Creta 192MM Cromado - Zen Design - 192MM
10380;10380-001-U;Puxador Alça Sorento Liso 96mm Dourado - Zen Design - 96MM
10397;10397-001-U;Puxador Alça Ken 192mm Níquel Escovado - Zen Design - 192MM
10398;10398-001-U;Puxador Ponto Radio Mini Níquel Escovado - Zen Design - MINI
10404;10404-001-U;Puxador Alça Ken 128mm Níquel Escovado - Zen Design - 128MM
10425;10425-001-U;Puxador Ponto Flex Gold Escovado - Zen Design - Ponto
10435;10435-001-U;Puxador Ponto Acqua 60x60 Cromado - Zen Design - Ponto
10437;10437-001-U;Puxador Concha Shell 64mm Gold Escovado - Zen Design - 64MM
10439;10439-001-U;Puxador Ponto Fune Couro Marrom Vecchio Cobre - Zen Design - Ponto
10447;10447-001-U;Puxador Alça Elemento G Preto - Zen Design - G
10458;10458-001-U;Puxador Ponto Fune Couro Marrom Preto - Zen Design - Ponto
10469;10469-001-U;Puxador Ponto Radio G Niquel Escovado - Zen Design - G
10471;10471-001-U;Puxador Ponto Radio P Níquel Escovado Com Base - Zen Design - P
10473;10473-001-U;Puxador Concha Plymouth Gold - Zen Design - 80MM
10477;10477-001-U;Puxador Alça Sorento Liso 320mm Níquel Escovado - Zen Design - 320MM
10479;10479-001-U;Puxador Alça Phenix 320MM Dourado - Zen Design - 320MM
10486;10486-001-U;Puxador Ponto Beetle Com Base Granada Níquel Velho - Zen Design - Ponto
10487;10487-001-U;Puxador de Sobrepor Citizen 45 Graus G Níquel Velho - Zen Design - G
10494;10494-001-U;Puxador Ponto Disk G Níquel Velho - Zen Design - G
10495;10495-001-U;Puxador Ponto Disk P Níquel Velho - Zen Design - PONTO
10499;10499-001-U;Puxador Alça Ken Granado 192mm Níquel Velho - Zen Design - 192MM
10504;10504-001-U;Puxador Alça Ken Granado 320mm Níquel Velho - Zen Design - 320MM
10512;10512-001-U;Puxador Ponto Dharma 32MM Preto - Zen Design - Ponto
10520;10520-001-U;Puxador Concha Vivaro 222 22540 Concha 96mm Escovado - Italyline - 96MM
10522;10522-001-U;Puxador Concha Vivaro 222 22538 Concha 96mm Dourado - Italyline - 96MM
10523;10523-001-U;Puxador Alça Sorento Granado 320mm Gold Escovado - Zen Design - 320MM
10526;10526-001-U;Puxador Ponto Sinnai il808 30MM Ponto Dourado Fosco - Italyline - 30MM
10535;10535-001-U;Puxador Alça Sorento Granado 96mm Gold Escovado - Zen Design - 96MM
10538;10538-001-U;Puxador Ponto Dharma 48MM Cromado - Zen Design - Ponto
10539;10539-001-U;Puxador Alça Sorento Granado 224mm Gold Escovado - Zen Design - 224MM
10543;10543-001-U;Puxador Ponto Zigrinato il1580 25x25  Escovado - Italyline - Ponto
10551;10551-001-U;Puxador Alça Piaui 128mm Dourado - Torralba - 128MM
10553;10553-001-U;Puxador Alça Phenix 64MM Gold Escovado - Zen Design - 64MM
10556;10556-001-U;Puxador Alça Traso 32mm Dourado - Zen Design - 32MM
10558;10558-001-U;Puxador Alça Piaui 224mm Preto Fosco - Torralba - 224MM
10563;10563-001-U;Puxador Concha Shell 48mm Gold Escovado - Zen Design - 48MM
10566;10566-001-U;Puxador Ponto Bali Granado Preto - Zen Design - Ponto
10567;10567-001-U;Puxador Concha Plymouth Dourado - Zen Design - 80MM
10572;10572-001-U;Puxador Sobrepor Citizen 45 Graus G Branco - Zen Design - G
10573;10573-001-U;Puxador Concha Shell 64mm Branco - Zen Design - 64MM
10574;10574-001-U;Puxador Alça Arezzo 416mm Dourado - Torralba - 416MM
10575;10575-001-U;Puxador Sobrepor Citizen G Reto Dourado - Zen Design - G
10585;10585-001-U;Puxador Alça Elemento G Dourado - Zen Design - G
10591;10591-001-U;Puxador Alça Sorento Liso 224MM Cromado - Zen Design - 224MM
10593;10593-001-U;Puxador Alça Oeiras 256mm Preto Fosco - Torralba - 256MM
10595;10595-001-U;Puxador Sobrepor Citizen 45 Graus G Níquel Escovado - Zen Design - G
10596;10596-001-U;Puxador Sobrepor Citizen 45 Graus G Gold Escovado - Zen Design - G
10605;10605-001-U;Puxador Concha Shell 64mm Níquel Velho - Zen Design - 64MM
10609;10609-001-U;Puxador Concha Shell 64mm Vecchio Cobre - Zen Design - 64MM
10613;10613-001-U;Puxador Concha Plymouth Vecchio Cobre - Zen Design - 80MM
10614;10614-001-U;Puxador Sobrepor Atenas 300mm Dourado - Torralba - 300MM
10617;10617-001-U;Puxador Soft  M Preto Fosco - Torralba - Único
10618;10618-001-U;Puxador Ponto Flex  Dourado - Zen Design - Ponto
10620;10620-001-U;Puxador Ponto Orion 33x20MM Branco - Zen Design - 33X20MM
10623;10623-001-U;Puxador Ponto Beetle Vecchio Cobre - Zen Design - Ponto
10632;10632-001-U;Puxador Alça Arezzo 160mm Dourado - Torralba - 160MM
10635;10635-001-U;Puxador Concha Pipe Simétrico Dourado Matte - Zen Design - 120MM
10637;10637-001-U;Puxador Ponto Beetle Cromado - Zen Design - Ponto
10641;10641-001-U;Puxador Concha Sirius 48mm Gold - Zen Design - Único
10648;10648-001-U;Puxador Concha Eden 1791 64mm Bronze - Torralba - Único
10650;10650-001-U;Puxador Ponto Tucson 201 Bronze - Torralba - G
10658;10658-001-U;Puxador Ponto Disk G Preto - Zen Design - G
10662;10662-001-U;Puxador Ponto Disk P Preto - Zen Design - P
10665;10665-001-U;Puxador Concha Sirius 32mm Níquel Escovado - Zen Design - Único
10669;10669-001-U;Puxador Ponto Orion 55x27MM Preto - Zen Design - 55X27MM
